id,number,street,unit,lon,lat,city,postcode,region,accuracy
GANSW717959824,79,MITCHELL STREET,,150.87394424,-31.09053768,WESTDALE,2340,NSW,2
GANSW717881504,90B,WOOLOOWARE ROAD,,151.14099140,-34.05203108,WOOLOOWARE,2230,NSW,2
GANSW717324853,5,BROOK HOLLOW CLOSE,,150.40609693,-35.36594017,WOODSTOCK,2538,NSW,2
GANSW717175283,50,THE BROADWAY,,151.10104193,-33.74143448,WAHROONGA,2076,NSW,2
GANSW706287460,29,BLAXLAND ROAD,,150.37673850,-33.70509690,WENTWORTH FALLS,2782,NSW,2
GANSW706265913,38,MARSH STREET,,152.82966902,-31.07718350,WEST KEMPSEY,2440,NSW,2
GANSW720173652,305,BOTANY ROAD,SHOP 110,151.20357858,-33.90563142,ZETLAND,2017,NSW,2
GANSW706291534,7,DANNY STREET,,150.74892097,-33.75576021,WERRINGTON,2747,NSW,2
GANSW706292188,11,MITCHELL DRIVE,,150.83456002,-33.94041165,WEST HOXTON,2171,NSW,2
GANSW719846268,960,BOURKE STREET,,151.20431610,-33.90492278,ZETLAND,2017,NSW,1
GANSW720609601,180,SOUTH CREEK ROAD,UNIT 202,151.27845170,-33.73293878,WHEELER HEIGHTS,2097,NSW,2
GANSW706135563,18,FOSTER STREET,,150.58333679,-33.70721716,VALLEY HEIGHTS,2777,NSW,2
GANSW706285203,528,PENNANT HILLS ROAD,,151.05306477,-33.74442657,WEST PENNANT HILLS,2125,NSW,2
GANSW717878081,189-195,PHILLIP STREET,UNIT 37,151.21156894,-33.89709585,WATERLOO,2017,NSW,1
GANSW717877747,9,PAPERBARK DRIVE,,150.87650631,-33.76187695,WOODCROFT,2767,NSW,2
GANSW711066550,24,RAILWAY PARADE,SHOP 10,150.98814444,-33.80786636,WESTMEAD,2145,NSW,2
GANSW717029788,1A,WOOLNOUGH STREET,,150.17874763,-33.48332945,VALE OF CLWYDD,2790,NSW,2
GANSW706289460,113,AIKEN ROAD,,151.03417446,-33.75418651,WEST PENNANT HILLS,2125,NSW,2
GANSW706287539,11,LYLE STREET,,150.36601750,-33.71886323,WENTWORTH FALLS,2782,NSW,2
GANSW719375339,18,EBSWORTH STREET,UNIT 411,151.20502321,-33.90632825,ZETLAND,2017,NSW,2
GANSW711637071,191,KIORA ROAD,,151.09928126,-34.04543959,YOWIE BAY,2228,NSW,2
GANSW719894035,178,GREAT WESTERN HIGHWAY,UNIT 81,150.98620169,-33.81918004,WESTMEAD,2145,NSW,2
GANSW711057579,27,STATION STREET,UNIT 1,150.97167725,-33.80827863,WENTWORTHVILLE,2145,NSW,2
GANSW717030060,3431,YARRIE LAKE ROAD,,149.46079203,-30.26831852,WEE WAA,2388,NSW,1
GANSW718193094,45W,FISHBURN CRESCENT,,151.42987472,-33.26162050,WATANOBBI,2259,NSW,2
GANSW721131906,36,GOLDING STREET,UNIT 126,153.34165889,-29.43930589,YAMBA,2464,NSW,2
GANSW711057787,26-30,BAILEY STREET,UNIT 4,150.98775239,-33.81000101,WESTMEAD,2145,NSW,2
GANSW717845131,163,CATHEDRAL STREET,,151.21921514,-33.87297865,WOOLLOOMOOLOO,2011,NSW,2
GANSW710716237,11-15,PARK LANE,UNIT 8,151.10752926,-33.70938349,WAITARA,2077,NSW,4
GANSW706140493,11,ARGYLE STREET,,150.67279177,-35.06758951,VINCENTIA,2540,NSW,2
GANSW706140495,13,ARGYLE STREET,,150.67261848,-35.06756474,VINCENTIA,2540,NSW,2
